date,a,b,c
,21.817905,37.1464,70.353435
,21.727466,39.226769,68.396816
,20.807988,40.086866,65.702116
,20.8347,42.0404,62.504014
,20.485357,43.571749,59.567036
,20.639425,45.307317,57.182373
,20.006471,47.166739,56.059159
,20.411378,48.462923,55.426617
,19.908595,49.034941,56.353451
,19.729245,49.852519,58.084163
,20.040383,49.735364,61.3338
,19.315845,49.075487,65.439413
,19.203052,48.88021,68.562458
,19.732391,48.00542,72.128441
,19.260283,47.157101,74.788225
,19.67172,45.955653,76.108051
,19.645056,44.144068,76.681943
,19.800106,43.048899,74.849729
,19.503856,42.538406,74.518251
,20.32964,41.007321,71.061676
,20.255696,40.678848,68.129606
,20.791697,40.350723,64.890606
,21.435215,40.791406,62.842189
,21.798401,40.982624,61.481846
,22.605207,42.114402,61.502421
,23.122989,43.201933,62.766096
,23.756049,44.720474,64.917069
,23.555865,46.018762,68.125602
,24.136712,47.504786,71.999082
,24.267133,49.462662,75.349485
,24.957451,51.512938,78.496383
,25.644054,52.797117,80.937975
,25.319539,54.255957,82.073141
,26.77548,54.753312,82.521545
,26.5913,55.847854,81.246257
,26.873552,55.309855,78.815773
,27.504747,55.788284,76.821793
,27.838605,54.363374,73.579075
,27.641286,53.780018,70.118988
,28.186329,52.6567,67.769776
,28.634643,51.885457,66.947783
,28.57125,50.516922,67.766513
,28.727691,48.919773,69.071364
,28.269236,47.737096,72.179568
,29.050098,47.078659,75.714422
,28.614647,46.848021,79.277986
,28.545943,46.343124,82.231452
,28.691841,46.388434,85.744897
,27.84733,46.764702,88.188246
,27.726134,47.726941,88.146285
,27.982567,48.932111,88.152747
,27.799384,50.88532,86.179264
,27.604583,52.069754,83.742461
,26.869868,53.689319,81.209932
,26.659645,55.889362,78.342034
,26.271401,57.225936,75.403671
,26.217219,58.622273,73.772838
,26.08701,59.956457,73.158836
,26.333044,61.074965,74.547974
,25.540563,61.623392,75.897637
,25.544732,60.769621,79.024078
,25.400979,61.810217,82.590696
,25.716784,61.151238,86.70232
,25.346722,59.578649,89.807606
,25.363126,58.541018,92.679556
,25.503925,57.372229,93.947427
,25.562115,56.003619,93.431042
,25.277274,54.848502,93.206708
,26.344795,54.777662,91.194456
,26.588933,53.129348,88.776689
,26.523468,53.196694,85.702273
,26.917995,51.809601,83.283347
,27.077501,52.255502,81.110028
,27.027979,53.259652,79.535069
,28.352252,54.291468,79.744083
,28.358304,55.327091,80.219723
,29.40692,57.136786,83.26471
,29.658669,58.354867,85.974445
,29.458652,60.684246,90.72151
,30.672556,61.28862,93.65314
,31.187402,63.514227,96.925212
,31.895039,65.36665,98.870536
,31.904755,65.723538,100.256859
,32.273328,66.938891,100.165963
,33.208353,67.098973,98.736857
,32.899494,67.165074,97.2366
,33.556563,67.292165,94.147522
,33.579665,66.817437,90.965957
,33.94871,65.951359,88.41027
,33.981919,65.097585,87.086819
,34.298032,62.866775,85.745538
,34.553236,62.779263,86.113621
,34.697227,61.069281,87.225139
,34.600759,60.275365,90.295644
,34.588063,58.874202,93.680235
,34.760322,58.906804,97.539318
,34.542161,58.288275,101.112895
,34.547322,58.845366,103.538474
,34.098478,59.173192,105.379998
,34.098692,59.966854,106.393627
,33.557114,60.87732,106.56286
,34.016621,62.616781,104.537682
,32.424685,63.991804,101.658144
,33.21077,65.905583,98.887818
,33.188811,67.359044,95.961072
,31.983593,69.40128,93.240538
,32.320256,70.797253,92.015424
,32.054599,72.282172,91.315362
,31.912154,72.809189,92.030014
,31.452498,73.002192,94.295568
,31.583227,73.710044,97.04715
,31.399048,73.931286,100.807864
,31.485326,72.917865,103.622603
,31.38355,72.035506,108.02522
,31.307143,71.258666,110.82631
,31.762945,69.590988,112.357325
,31.569997,68.489617,112.708981
,31.196658,66.508972,111.995421
,32.223996,66.222255,109.90514
,31.931784,65.198845,106.747899
,32.725387,64.712114,104.333582
,32.822105,63.741741,101.119279
,33.189228,64.663481,98.762802
,33.624354,65.400434,97.494042
,33.917877,66.142834,97.959939
,34.157407,67.067113,98.646645
,34.768195,68.589985,101.104079
,35.426537,70.541099,104.514882
,35.875192,72.321979,107.975523
,36.43569,74.12433,111.510919
,36.652314,75.970288,114.300336
,37.561921,76.492187,116.930604
,38.00312,78.15255,118.515378
,37.649509,78.963036,118.191406
,38.600943,78.673141,117.708566
,39.736167,79.282689,115.141635
,39.494896,78.66634,111.997988
,39.58385,78.370146,108.693648
,39.454373,78.331245,106.336016
,40.148201,77.030103,105.060068
,40.317666,75.555716,103.273378
,40.566744,74.135184,104.290742
,40.114667,73.118116,105.124366
,40.570025,71.670497,108.180334
,40.127934,71.151292,111.340955
,40.935898,70.677889,115.378032
,40.433409,70.959857,118.645416
,40.278165,70.557209,121.262806
,40.689332,70.886739,123.471118
,40.269969,71.923696,124.779376
,39.891341,73.326981,124.11635
,39.842309,74.396495,122.140698
,38.8722,76.542475,120.119949
,38.714006,78.370228,117.25563
,38.941743,79.792355,113.76236
,38.840406,81.610051,111.483587
,38.364933,82.43933,109.639788
,37.968248,83.819377,109.888917
,38.005243,85.108228,109.95792
,37.919477,85.500381,112.059655
,37.572011,85.763712,114.982965
,37.334409,85.42979,118.462671
,37.016124,84.603145,122.343341
,37.208984,83.865403,125.428623
,37.547593,82.618861,128.884657
,37.434296,81.676917,130.072395
,37.152224,80.301493,130.641826
,37.38456,78.916507,129.387697
,37.940191,77.955304,127.691197
,38.38545,77.599737,125.413575
,38.459206,76.834373,122.289179
,38.828901,76.33882,118.930952
,39.297555,77.037476,116.736775
,39.641434,77.216654,115.933043
,40.028662,77.738012,115.587332
,40.431381,79.154518,117.089073
,40.957859,80.8827,119.368071
,41.313039,82.679839,122.241072
,42.154479,84.782365,125.539775
,42.532103,86.023651,129.388507
,42.610235,87.846024,132.863053
,43.27838,88.763152,134.911442
,43.843539,89.938853,136.382866
,44.556202,91.182235,136.604227
,44.852746,91.302762,135.903141
,45.029637,91.123272,132.685477
,45.667129,90.738394,129.978429
,45.829091,91.011193,127.098337
,46.165506,89.702892,124.27132
,46.18656,88.699353,122.750631
,45.668186,87.753182,121.800551
,46.74133,86.653901,121.593724
,46.967909,85.004845,123.97836
,47.167879,83.16762,126.235557
,47.446629,83.647189,129.084301
,46.532521,82.847603,132.946159
,46.451932,82.183742,136.919224
,46.297647,82.255099,139.66331
,46.311228,83.727566,141.321208
,45.65854,83.723006,142.654532
,45.86955,85.459801,142.634523
,45.932615,86.61827,140.799571
,45.586143,88.655751,138.029408
,45.034879,89.722117,134.406727
,45.282582,92.204889,131.840046
,44.283866,93.283436,129.044452
,44.102695,95.194622,127.839873
,44.079655,95.663447,126.847329
,43.80115,97.111365,128.439951
,43.609048,97.157498,130.249143
,43.48369,96.906939,133.635954
,43.464427,97.190231,137.115356
,43.755854,97.14691,140.368622
,43.621314,95.978805,143.833544
,42.988628,94.701529,147.002147
,43.495117,93.651577,148.082073
,43.780029,91.994843,148.494754
,43.687721,90.854036,147.690012
,44.163124,90.047278,145.43406
,43.938722,88.679478,143.019337
,44.574835,88.735871,140.061216
,45.027093,88.78622,137.022358
,45.358351,88.87207,134.785574
,45.387586,89.693692,133.028019
,45.62711,89.772505,133.62704
,46.878569,91.066946,134.426739
,47.044564,92.493448,137.59863
,47.547044,94.027631,140.188405
,48.299674,96.247261,144.424458
,48.266644,98.195509,148.100237
,49.168694,98.935945,150.685896
,49.967872,101.113408,152.922693
,50.027848,102.451539,154.66049
,50.236938,102.986937,154.00037
,50.850755,103.49243,153.351214
,51.12953,103.700533,150.811937
,50.774976,103.021575,148.159026
,52.017656,102.675553,144.901856
,52.226564,102.200086,142.621287
,51.993737,100.342332,140.186318
,52.681045,99.512794,139.693714
,52.761084,98.536079,139.818956
,52.111754,97.546136,141.249943
,52.643093,95.963566,144.281574
,52.233122,95.235554,147.406443
,52.451301,94.58797,151.086821
,53.000695,94.185953,154.856531
,52.097388,94.733012,157.663222
,52.644475,95.447065,159.468317
,52.164121,95.816377,160.429067
,52.162053,97.155255,159.775429
,51.678229,98.800313,157.894028
,50.874399,100.472829,155.98789
,51.126824,101.986461,152.973042
,50.858306,103.842228,149.475365
,50.525008,106.082719,147.534178
,50.165583,107.425304,146.840562
,49.870496,108.140243,145.552382
,49.762888,108.802257,146.666072
,50.001704,109.894721,148.053263
,49.941999,108.952264,150.672312
,49.169425,109.835653,154.641928
,48.898874,109.010679,158.365156
,48.939339,107.822241,161.409374
,49.506209,106.538886,164.465564
,49.228314,105.523396,166.511583
,50.094434,103.909906,166.336183
,49.908999,103.127724,165.311585
,50.285313,101.84771,163.575931
,50.892664,101.421852,161.242812
,50.794618,100.681151,157.912647
,50.460883,100.717572,154.732675
,51.005538,100.242488,153.022631
,51.959868,100.321413,152.056283
,52.38668,101.661669,151.53502
,52.733745,103.232672,152.897862
,52.835214,104.855045,155.134072
,54.379691,106.662089,158.27759
,53.915539,108.015921,162.44812
,54.690406,109.977827,165.936742
,55.334606,111.617788,169.600675
,55.591887,111.83139,170.638999
,56.001729,114.068806,171.561404
,56.525264,114.869066,172.413781
,56.98847,115.522066,171.066382
,56.51419,115.769261,169.381395
,57.212007,115.383179,165.945439
,57.719989,114.759568,163.401612
,58.439165,114.139432,160.207483
,58.137717,113.393918,158.234267
,58.623869,112.038725,157.610359
,58.842133,110.081506,157.696063
,58.611301,109.3255,159.912835
,58.578747,108.175235,162.018324
,58.804844,107.479375,165.50188
,58.386829,106.336905,169.205192
,58.448922,106.6093,172.841739
,58.240966,106.990402,175.77127
,58.185185,106.834176,177.854924
,57.971292,108.153845,178.537975
,57.557431,109.552784,178.522569
,57.326296,110.203687,176.381604
,57.77465,112.304242,173.704243
,57.14755,114.298489,170.686698
,56.953616,115.749568,168.147049
,56.734982,116.774469,165.979283
,56.37539,118.803492,164.435144
,56.168542,120.156444,163.327614
,55.992427,121.180337,163.992622
,55.970288,120.96854,166.655562
,55.571927,121.884932,168.924687
,55.568534,121.026199,172.765801
,55.240624,120.424831,176.577733
,54.884531,119.688407,179.429942
,55.834806,119.167265,182.29721
,55.209632,117.784133,183.812781
,55.631184,116.069862,184.723285
,55.813164,114.963681,183.888625
,56.314738,113.968247,181.667459
,56.317509,113.459384,179.088548
,56.461806,112.763613,175.84123
,57.006057,112.536244,172.886102
,57.134492,112.777286,170.955718
,57.685322,113.222261,169.218349
,58.18808,113.875792,169.559931
,58.347175,115.010849,170.842074
,59.030729,116.700961,172.711181
,59.491717,118.160331,176.496811
,60.574925,120.334804,180.483379
,60.387759,121.719505,183.149867
,60.829953,123.45859,186.970214
,61.593904,124.308782,189.672955
,61.813431,125.972096,190.752921
,61.653146,126.530482,190.316777
,63.089533,127.014109,188.818508
,63.201324,127.462296,187.092604
,63.256161,127.064029,184.139215
,63.822248,126.794337,181.106887
,64.411798,125.882154,177.950633
,64.211304,125.010512,176.710116
,64.31692,123.533238,175.292013
,64.452646,121.933835,175.764465
,64.465327,121.262088,177.648597
,64.122639,120.31728,179.669705
,64.805795,119.600956,183.023165
,64.182367,118.288875,187.579437
,64.186553,118.343433,190.758264
,64.056729,118.312811,194.248793
,64.438,119.029781,195.700856
,64.038492,120.310722,196.411317
,63.827508,121.493897,196.28774
,63.725715,122.585392,194.12216
,63.032254,124.280388,192.470561
,63.080748,125.929595,189.438044
,62.585307,127.945375,186.299331
,62.107383,128.962325,183.855922
,62.693761,130.332318,182.745734
,62.651668,132.324727,181.466688
,61.604086,132.765625,182.497572
,62.122381,133.5552,184.197175
,61.85072,133.532147,187.537588
,61.176719,133.591349,190.753985
,61.898485,132.56362,194.348057
,61.454853,132.116976,197.349166
,61.731578,130.992851,200.608871
,61.655913,129.441419,202.148802
,61.863061,128.31195,202.16236
,61.615224,127.581635,201.684465
,62.179815,126.145837,199.652606
,62.287709,124.875907,196.777561
,62.647623,124.401697,193.685476
,62.916498,124.668062,190.687843
,63.565134,124.952882,188.883835
,63.599002,125.390359,187.786911
,63.794486,126.125701,188.12167
,64.685364,127.217944,188.979067
,65.383238,128.112913,191.187476
,65.119324,130.394537,194.917882
,65.407497,131.497886,197.780801
,66.775183,133.914345,201.62509
,67.001269,135.429033,204.769577
,67.346961,137.156015,207.247136
,67.947016,137.975421,208.494593
,68.372058,139.171254,208.712398
,68.798308,139.269596,207.181212
,68.857093,139.985336,204.922809
,69.692438,138.855385,201.822381
,69.661128,138.537986,199.370412
,69.696911,137.867757,196.331641
,70.046883,136.98273,194.712514
,69.890749,135.839948,193.469375
,70.411482,134.581979,193.770369
,70.540748,133.066843,195.325648
,70.49472,131.846783,198.286452
,70.265994,131.257237,201.386987
,70.69435,130.912006,205.436682
,70.003652,129.627727,208.718
,70.237802,130.600639,212.210229
,69.390595,131.233892,214.234407
,69.855566,131.895218,214.079023
,69.764885,132.940283,214.138111
,69.604676,134.832983,212.365765
,68.854395,136.339813,210.112862
,69.331315,138.729606,206.720208
,68.53826,139.32904,203.763944
,68.423226,141.233019,201.543425
,68.246437,143.13817,200.058889
,68.050194,143.405794,199.543826
,68.205005,144.528935,199.866962
,67.737338,145.740778,202.297387
,67.973118,145.740561,204.50714
,67.229509,144.769724,208.947496
,66.881157,144.94615,212.108155
,67.402363,143.845453,215.726737
,67.126655,142.139894,218.226747
,67.465238,141.527711,220.151874
,67.500771,140.353459,219.678436
,67.974364,138.970675,220.177536
,67.709312,138.366904,217.582279
,68.410298,137.598089,214.993297
,68.34272,136.440334,212.439745
,68.785944,136.659359,208.704729
,69.220313,137.095635,207.094585
,69.913566,136.815859,205.777344
,69.849021,137.684504,205.808878
,70.432692,139.062954,206.579575
,70.716845,140.409359,209.35853
,71.182859,142.079745,212.632234
,72.016445,143.980666,216.257872
,72.343927,145.698802,219.892863
,73.193517,147.134225,222.496161
,73.872124,148.755877,225.549185
,73.985627,149.975628,226.423955
,74.195985,150.78137,226.153553
,74.643854,151.259155,224.67625
,75.068441,151.415782,222.561648
,75.252185,151.038418,220.215988
,76.243351,150.500138,217.215829
,76.458431,149.905098,214.131356
,76.558207,148.900905,212.56383
,76.348587,148.199388,211.501815
,76.896166,146.877813,211.128722
,76.617709,145.091184,213.900268
,77.328557,144.03811,216.27789
,76.283058,143.056638,219.752342
,76.232917,142.373238,223.020847
,76.2839,142.343171,226.836615
,76.692185,142.747571,229.308352
,76.534091,142.835565,231.515351
,76.281173,143.722851,232.084262
,75.394717,145.241966,231.918124
,75.817372,146.659498,229.982747
,75.261744,148.94294,228.084324
,75.218982,149.761525,224.753134
,74.030394,151.499058,221.863231
,74.401569,153.23299,219.923063
,74.650394,154.398953,218.113691
,73.954456,155.695034,216.71291
,73.91273,157.054825,218.205502
,73.547715,157.780183,220.180233
,73.506094,157.977273,223.214562
,73.704785,157.314607,227.093867
,73.648639,156.915098,230.29037
,73.380985,155.343179,233.695142
,73.348414,154.683217,236.571765
,73.536349,153.784856,238.153343
,73.892711,152.767499,238.590207
,73.672293,151.660936,237.636319
,73.709582,150.276694,235.787616
,73.84535,148.988951,233.333566
,74.503629,148.280203,229.687715
,75.503677,148.405009,227.543216
,75.451061,148.564404,224.990723
,75.054225,149.083429,223.058333
,75.510813,150.323737,223.301138
,76.410777,151.565948,224.306224
,76.692013,152.923853,227.632787
,77.55503,154.645167,230.058977
,77.908543,155.978162,234.725556
,78.854574,157.817902,237.77651
,79.067959,159.489656,241.176233
,79.869074,160.771162,243.193608
,79.881609,161.961648,244.835832
,80.264304,163.191837,244.069598
,81.019815,163.611092,243.303568
,80.799396,163.688239,240.921906
,82.359159,163.559579,237.980025
,81.91518,163.056827,234.801362
,82.148461,161.374225,231.699247
,81.958458,160.817584,230.590573
,82.296185,159.536932,229.00975
,82.24089,157.726296,229.783963
,82.534647,157.217177,231.686912
,82.317979,155.922648,233.941983
,82.708428,155.21423,237.748534
,82.421496,155.325586,240.906548
,82.094409,154.803593,244.841149
,82.734069,154.463894,247.416356
,82.225504,155.325766,249.8268
,81.796534,156.248019,250.594463
,81.798081,157.023178,249.874051
,81.203451,158.522329,248.547301
,80.984958,159.958656,246.036535
,81.054084,161.720255,242.887732
,80.887633,164.271254,239.801493
,80.100186,165.329897,237.802557
,80.111525,167.341742,235.512314
,79.901484,168.379229,235.064416
,79.8418,168.926396,236.093306
,79.471788,169.564333,238.320558
,79.826395,170.179808,241.122335
,79.661466,168.92631,244.615011
,79.708128,168.836443,248.273471
,79.431134,168.427216,251.244974
,78.788604,167.121698,254.794681
,79.523335,165.739071,255.824769
,79.304202,164.207116,256.94874
,79.833966,163.390142,255.566228
,80.01413,162.468013,253.55605
,80.207601,161.236906,251.286835
,80.380711,160.262576,247.858181
,80.811861,160.078277,245.342306
,81.52996,160.504276,242.70834
,81.582411,161.000172,241.860517
,82.470815,161.798335,241.575514
,82.961949,163.766911,242.917984
,83.082746,165.102643,245.142839
,83.385616,166.130481,248.030269
,84.115224,168.21245,252.091086
,84.358502,169.87908,255.589753
,85.019508,171.260542,259.067087
,85.686997,172.584359,260.976194
,85.963902,174.322513,262.663386
,86.01864,175.118179,261.953584
,86.410121,175.136702,260.856633
,87.048332,175.982025,258.648028
,87.848978,175.290773,255.369541
,88.10881,174.562481,253.797201
,88.60663,173.198216,250.025748
,88.133858,173.129102,247.745779
,88.187699,172.038022,247.83411
,88.186402,170.782474,248.085606
,88.136571,169.155808,249.480399
,88.935084,168.30294,252.259676
,88.405212,167.284889,255.766812
,88.373586,166.730134,259.468643
,88.559011,166.391607,262.716068
,88.565823,166.09018,265.831283
,88.161499,166.753059,267.637629
,87.947544,168.462105,268.148113
,87.875578,169.156708,268.014219
,86.82883,170.446027,266.445131
,87.740777,172.206234,264.260522
,87.43088,174.640056,261.169613
,86.291287,176.038756,257.881304
,86.741329,177.125549,255.726388
,86.065533,178.518268,253.91187
,86.292876,179.525529,252.928138
,85.744118,180.562467,254.162311
,85.785837,181.338265,256.058104
,85.092597,182.02589,259.190039
,84.906666,181.241429,263.061451
,85.278841,180.727186,266.114326
,85.518815,179.929817,269.821817
,85.223245,178.522546,272.051941
,85.143535,177.465263,274.503692
,85.352602,176.650473,274.35231
,85.815955,175.379426,273.631277
,86.333478,174.32033,272.179095
,85.9755,173.595009,269.270232
,87.175886,172.783614,265.782328
,86.981562,172.386455,262.955527
,87.135371,172.785625,260.691292
,87.520219,172.823558,260.049171
,88.166885,173.511433,259.345372
,88.364726,175.466832,261.013573
,89.355199,176.643816,263.174002
,89.608489,178.71549,266.86958
,90.210506,180.11776,270.169246
,90.671618,181.64096,273.448911
,91.65198,183.303505,277.453465
,91.525349,184.544928,279.432315
,91.592801,185.770444,280.71077
,92.097227,187.06567,280.390595
,92.738189,187.358536,279.283164
,92.912385,187.830232,276.92703
,93.752063,186.957078,274.481833
,93.583391,186.895722,271.626765
,94.222596,186.350905,267.88959
,94.596651,185.078657,266.082902
,93.853808,183.923177,265.872578
,94.704017,182.62483,265.586246
,94.637096,180.67957,267.928187
,94.818091,179.684093,270.312457
,95.010759,179.20124,273.632732
,94.570292,178.336448,277.204204
,94.455958,178.481331,280.218234
,94.122082,178.571972,283.715727
,94.286713,179.34999,286.113993
,94.470725,180.194162,286.508021
,93.31266,181.134505,286.477516
,93.441044,182.523434,284.31427
,93.40122,184.084758,281.959862
,93.384451,185.403905,279.113116
,92.593766,187.78046,275.57771
,92.901079,188.921069,273.816898
,92.589468,190.764851,271.633259
,92.040364,192.040772,271.390086
,91.673398,192.909767,271.721777
,91.715605,193.03856,274.231101
,91.960661,193.619916,276.697623
,91.491632,193.011298,281.018917
,91.004643,193.244141,284.467929
,91.536519,191.240505,287.917662
,91.260399,191.325773,290.37228
,91.346443,189.466125,291.526451
,92.03817,187.839203,292.801014
,92.097959,187.462872,291.427078
,91.437624,185.977886,289.90074
,92.175466,185.766548,286.701018
,92.541035,185.107886,283.980116
,92.644639,184.609325,280.998571
,93.221489,184.087991,279.071231
,93.735087,185.038628,276.881831
,93.915904,186.82169,277.84849
,94.230417,187.662478,279.328896
,95.091533,188.427609,281.388487
,95.847586,190.295501,284.89626
,95.637322,191.933023,287.844709
,96.431593,193.856065,291.84909
,96.713464,195.744153,295.010016
,96.8296,197.196241,297.241282
,97.781781,197.903522,298.249965
,98.259776,199.044029,298.412681
,98.541918,199.058014,296.743928
,98.584702,199.696332,294.256557
,99.913993,199.318012,292.265777
,99.775798,198.779818,289.331599
,100.27436,197.924614,285.830941
,99.872563,196.438417,284.846861
,99.582463,195.508313,283.801244
,100.091662,194.371662,284.192828
,101.052434,192.832368,285.688963
,100.901192,192.483398,288.517398
,100.307777,191.044577,291.058806
,100.110598,190.207966,295.141615
,100.687238,190.412363,299.136612
,100.514354,190.722398,302.053869
,100.642197,191.514342,303.891233
,100.301172,191.460094,304.837469
,99.855616,193.228108,304.144853
,98.713254,194.732255,302.693876
,99.513869,196.459552,300.453068
,98.756159,197.753964,297.462054
,98.769874,199.875645,293.641128
,97.989573,201.527694,291.301032
,97.761329,203.253906,289.939592
,98.243197,204.226265,289.184592
,97.638544,204.624596,290.302206
,97.396851,204.992868,292.161095
,97.122304,205.7331,294.778241
,96.954404,204.959884,298.89006
,97.616391,204.676656,302.570928
,96.93998,203.478839,305.763939
,97.803996,202.691691,308.622028
,97.488473,201.437332,310.205934
,97.632926,200.626298,310.345843
,97.769266,199.616284,310.270327
,97.98435,198.08789,307.561985
,98.398454,197.215065,305.151831
,98.685281,196.592901,302.305413
,98.693161,196.544673,299.754101
,99.570977,196.465291,296.553761
,100.253758,197.160794,296.212243
,100.515981,197.911793,295.570077
,100.568846,199.096349,296.722295
,100.833565,201.335487,299.456488
,101.339659,202.489435,301.869884
,102.112083,203.949152,305.98484
,102.298771,205.915434,309.94586
,103.221862,207.206146,312.588525
,103.278084,209.014,315.110709
,103.836802,210.430714,316.583268
,104.78419,211.001342,316.558235
,104.777104,211.223836,315.353721
,104.85448,211.271858,313.166058
,105.05171,211.02694,310.031222
,106.099822,210.745094,307.232289
,106.058674,209.935866,304.565643
,106.210754,208.812524,301.806611
,106.507083,207.679401,301.364393
,106.791891,206.521044,300.903658
,106.60329,204.472774,302.99635
,107.218805,204.377992,306.122501
,106.839506,202.827945,309.49821
,106.511101,203.298111,313.601192
,106.707897,201.660282,316.542123
,106.231695,203.000783,320.156958
,106.178028,202.397333,321.914444
,106.58094,204.240709,322.186081
,105.670111,205.149664,321.998121
